k,c,m,t,x
200,2,1,0.0,1.0
200,2,1,0.0008340283569641367,0.9999304791366115
200,2,1,0.0016680567139282735,0.9997220807224869
200,2,1,0.0025020850708924102,0.9993750651881795
200,2,1,0.003336113427856547,0.9988897117983979
200,2,1,0.004170141784820684,0.9982663185817988
200,2,1,0.0050041701417848205,0.9975052022582854
200,2,1,0.005838198498748957,0.9966066981638309
200,2,1,0.006672226855713094,0.9955711601728395
200,2,1,0.007506255212677231,0.9943989606180585
200,2,1,0.008340283569641367,0.9930904902080594
200,2,1,0.009174311926605505,0.9916461579423022
200,2,1,0.010008340283569641,0.990066391023797
200,2,1,0.010842368640533777,0.9883516347693846
200,2,1,0.011676396997497914,0.9865023525176438
200,2,1,0.012510425354462052,0.984519025534452
200,2,1,0.013344453711426188,0.9824021529162071
200,2,1,0.014178482068390324,0.9801522514907349
200,2,1,0.015012510425354461,0.9777698557158964
200,2,1,0.0158465387823186,0.9752555175759117
200,2,1,0.016680567139282735,0.9726098064754242
200,2,1,0.01751459549624687,0.9698333091313148
200,2,1,0.01834862385321101,0.9669266294622956
200,2,1,0.019182652210175146,0.963890388476291
200,2,1,0.020016680567139282,0.9607252241556357
200,2,1,0.020850708924103418,0.9574317913401009
200,2,1,0.021684737281067554,0.9540107616077752
200,2,1,0.022518765638031693,0.9504628231538153
200,2,1,0.02335279399499583,0.9467886806670893
200,2,1,0.024186822351959965,0.9429890552047344
200,2,1,0.025020850708924104,0.939064684064646
200,2,1,0.02585487906588824,0.9350163206559239
200,2,1,0.026688907422852376,0.930844734367294
200,2,1,0.027522935779816512,0.9265507104335279
200,2,1,0.028356964136780648,0.9221350497998829
200,2,1,0.029190992493744787,0.9175985689845844
200,2,1,0.030025020850708923,0.9129420999393718
200,2,1,0.03085904920767306,0.9081664899081323
200,2,1,0.0316930775646372,0.9032726012836452
200,2,1,0.03252710592160133,0.898261311462457
200,2,1,0.03336113427856547,0.8931335126979159
200,2,1,0.03419516263552961,0.8878901119513835
200,2,1,0.03502919099249374,0.8825320307416511
200,2,1,0.03586321934945788,0.877060204992584
200,2,1,0.03669724770642202,0.8714755848790161
200,2,1,0.03753127606338615,0.8657791346709213
200,2,1,0.03836530442035029,0.8599718325758852
200,2,1,0.039199332777314425,0.8540546705799016
200,2,1,0.040033361134278564,0.8480286542865199
200,2,1,0.0408673894912427,0.8418948027543665
